,sampleID,dateTime,sourceCode,latitude,longitude,altitude,speed,heading,linkPVID,directionOfTravel,distFromRef,disFromLink
403,35008,7/7/2009 3:21:22 PM,13,52.40137891843921,9.73560953512788,105,57,174,51924206.0,T,-28.015573501494234,1.899952137564434
404,35008,7/7/2009 3:21:22 PM,13,52.40137891843921,9.73560953512788,105,57,174,51924206.0,T,-28.015573501494234,1.899952137564434
405,35008,7/7/2009 3:21:22 PM,13,52.40137891843921,9.73560953512788,105,57,174,51924206.0,T,-28.015573501494234,1.899952137564434
406,35008,7/7/2009 3:21:22 PM,13,52.40137891843921,9.73560953512788,105,57,174,51924206.0,T,-28.015573501494234,1.899952137564434
407,35008,7/7/2009 3:21:22 PM,13,52.40137891843921,9.73560953512788,105,57,174,51924206.0,T,-28.015573501494234,1.899952137564434
408,35008,7/7/2009 3:21:22 PM,13,52.40137891843921,9.73560953512788,105,57,174,51924206.0,T,-28.015573501494234,1.899952137564434
409,35008,7/7/2009 3:21:22 PM,13,52.40137891843921,9.73560953512788,105,57,174,51924206.0,T,-28.015573501494234,1.899952137564434
410,35008,7/7/2009 3:21:27 PM,13,52.4007613398135,9.735699975863099,105,34,169,51924236.0,T,-24.785572353160347,1.5669600755863529
411,35008,7/7/2009 3:21:27 PM,13,52.4007613398135,9.735699975863099,105,34,169,51924236.0,T,-24.785572353160347,1.5669600755863529
412,35008,7/7/2009 3:21:27 PM,13,52.4007613398135,9.735699975863099,105,34,169,51924236.0,T,-24.785572353160347,1.5669600755863529
413,35008,7/7/2009 3:21:27 PM,13,52.4007613398135,9.735699975863099,105,34,169,51924236.0,T,-24.785572353160347,1.5669600755863529
414,35008,7/7/2009 3:21:27 PM,13,52.4007613398135,9.735699975863099,105,34,169,51924236.0,T,-24.785572353160347,1.5669600755863529
415,35008,7/7/2009 3:21:27 PM,13,52.4007613398135,9.735699975863099,105,34,169,51924236.0,T,-24.785572353160347,1.5669600755863529
416,35008,7/7/2009 3:21:27 PM,13,52.4007613398135,9.735699975863099,105,34,169,51924236.0,T,-24.785572353160347,1.5669600755863529
417,35008,7/7/2009 3:21:27 PM,13,52.4007613398135,9.735699975863099,105,34,169,51924236.0,T,-24.785572353160347,1.5669600755863529
418,35008,7/7/2009 3:21:27 PM,13,52.4007613398135,9.735699975863099,105,34,169,51924236.0,T,-24.785572353160347,1.5669600755863529
419,35008,7/7/2009 3:21:32 PM,13,52.4002900253981,9.73574557341635,105,37,175,51924236.0,T,-42.63851895315233,0.2752706304708331
420,35008,7/7/2009 3:21:32 PM,13,52.4002900253981,9.73574557341635,105,37,175,51924236.0,T,-42.63851895315233,0.2752706304708331
421,35008,7/7/2009 3:21:32 PM,13,52.4002900253981,9.73574557341635,105,37,175,51924236.0,T,-42.63851895315233,0.2752706304708331
422,35008,7/7/2009 3:21:32 PM,13,52.4002900253981,9.73574557341635,105,37,175,51924236.0,T,-42.63851895315233,0.2752706304708331
423,35008,7/7/2009 3:21:32 PM,13,52.4002900253981,9.73574557341635,105,37,175,51924236.0,T,-42.63851895315233,0.2752706304708331
424,35008,7/7/2009 3:21:32 PM,13,52.4002900253981,9.73574557341635,105,37,175,51924236.0,T,-42.63851895315233,0.2752706304708331
425,35008,7/7/2009 3:21:32 PM,13,52.4002900253981,9.73574557341635,105,37,175,51924236.0,T,-42.63851895315233,0.2752706304708331
426,35008,7/7/2009 3:21:32 PM,13,52.4002900253981,9.73574557341635,105,37,175,51924236.0,T,-42.63851895315233,0.2752706304708331
427,35008,7/7/2009 3:21:32 PM,13,52.4002900253981,9.73574557341635,105,37,175,51924236.0,T,-42.63851895315233,0.2752706304708331
428,35008,7/7/2009 3:21:37 PM,13,52.3998057190329,9.735803324729199,105,34,174,51924236.0,T,-27.3195391928004,0.31340066364381153
429,35008,7/7/2009 3:21:37 PM,13,52.3998057190329,9.735803324729199,105,34,174,51924236.0,T,-27.3195391928004,0.31340066364381153
430,35008,7/7/2009 3:21:37 PM,13,52.3998057190329,9.735803324729199,105,34,174,51924236.0,T,-27.3195391928004,0.31340066364381153
431,35008,7/7/2009 3:21:37 PM,13,52.3998057190329,9.735803324729199,105,34,174,51924236.0,T,-27.3195391928004,0.31340066364381153
432,35008,7/7/2009 3:21:37 PM,13,52.3998057190329,9.735803324729199,105,34,174,51924236.0,T,-27.3195391928004,0.31340066364381153
433,35008,7/7/2009 3:21:37 PM,13,52.3998057190329,9.735803324729199,105,34,174,51924236.0,T,-27.3195391928004,0.31340066364381153
434,35008,7/7/2009 3:21:37 PM,13,52.3998057190329,9.735803324729199,105,34,174,51924236.0,T,-27.3195391928004,0.31340066364381153
435,35008,7/7/2009 3:21:37 PM,13,52.3998057190329,9.735803324729199,105,34,174,51924236.0,T,-27.3195391928004,0.31340066364381153
436,35008,7/7/2009 3:21:37 PM,13,52.3998057190329,9.735803324729199,105,34,174,51924236.0,T,-27.3195391928004,0.31340066364381153
437,35008,7/7/2009 3:21:42 PM,13,52.3995925672352,9.73582469858229,106,6,177,51924236.0,T,-9.772234413618337,0.8465170498002607
438,35008,7/7/2009 3:21:42 PM,13,52.3995925672352,9.73582469858229,106,6,177,51924236.0,T,-9.772234413618337,0.8465170498002607
439,35008,7/7/2009 3:21:42 PM,13,52.3995925672352,9.73582469858229,106,6,177,51924236.0,T,-9.772234413618337,0.8465170498002607
440,35008,7/7/2009 3:21:42 PM,13,52.3995925672352,9.73582469858229,106,6,177,51924236.0,T,-9.772234413618337,0.8465170498002607
441,35008,7/7/2009 3:21:42 PM,13,52.3995925672352,9.73582469858229,106,6,177,51924236.0,T,-9.772234413618337,0.8465170498002607
442,35008,7/7/2009 3:21:42 PM,13,52.3995925672352,9.73582469858229,106,6,177,51924236.0,T,-9.772234413618337,0.8465170498002607
443,35008,7/7/2009 3:21:42 PM,13,52.3995925672352,9.73582469858229,106,6,177,51924236.0,T,-9.772234413618337,0.8465170498002607
444,35008,7/7/2009 3:21:42 PM,13,52.3995925672352,9.73582469858229,106,6,177,51924236.0,T,-9.772234413618337,0.8465170498002607
445,35008,7/7/2009 3:21:42 PM,13,52.3995925672352,9.73582469858229,106,6,177,51924236.0,T,-9.772234413618337,0.8465170498002607
446,35008,7/7/2009 3:21:47 PM,13,52.399584017693996,9.73582704551518,106,0,200,51924236.0,T,-8.924065309846725,0.7669373222782422
447,35008,7/7/2009 3:21:47 PM,13,52.399584017693996,9.73582704551518,106,0,200,51924236.0,T,-8.924065309846725,0.7669373222782422
448,35008,7/7/2009 3:21:47 PM,13,52.399584017693996,9.73582704551518,106,0,200,51924236.0,T,-8.924065309846725,0.7669373222782422
449,35008,7/7/2009 3:21:47 PM,13,52.399584017693996,9.73582704551518,106,0,200,51924236.0,T,-8.924065309846725,0.7669373222782422
450,35008,7/7/2009 3:21:47 PM,13,52.399584017693996,9.73582704551518,106,0,200,51924236.0,T,-8.924065309846725,0.7669373222782422
451,35008,7/7/2009 3:21:47 PM,13,52.399584017693996,9.73582704551518,106,0,200,51924236.0,T,-8.924065309846725,0.7669373222782422
452,35008,7/7/2009 3:21:47 PM,13,52.399584017693996,9.73582704551518,106,0,200,51924236.0,T,-8.924065309846725,0.7669373222782422
453,35008,7/7/2009 3:21:47 PM,13,52.399584017693996,9.73582704551518,106,0,200,51924236.0,T,-8.924065309846725,0.7669373222782422
454,35008,7/7/2009 3:21:47 PM,13,52.399584017693996,9.73582704551518,106,0,200,51924236.0,T,-8.924065309846725,0.7669373222782422
455,35008,7/7/2009 3:21:52 PM,13,52.399587873369505,9.73583165556192,106,0,108,51924236.0,T,-9.282158291195733,0.41863282207091534
456,35008,7/7/2009 3:21:52 PM,13,52.399587873369505,9.73583165556192,106,0,108,51924236.0,T,-9.282158291195733,0.41863282207091534
457,35008,7/7/2009 3:21:52 PM,13,52.399587873369505,9.73583165556192,106,0,108,51924236.0,T,-9.282158291195733,0.41863282207091534
458,35008,7/7/2009 3:21:52 PM,13,52.399587873369505,9.73583165556192,106,0,108,51924236.0,T,-9.282158291195733,0.41863282207091534
459,35008,7/7/2009 3:21:52 PM,13,52.399587873369505,9.73583165556192,106,0,108,51924236.0,T,-9.282158291195733,0.41863282207091534
460,35008,7/7/2009 3:21:52 PM,13,52.399587873369505,9.73583165556192,106,0,108,51924236.0,T,-9.282158291195733,0.41863282207091534
461,35008,7/7/2009 3:21:52 PM,13,52.399587873369505,9.73583165556192,106,0,108,51924236.0,T,-9.282158291195733,0.41863282207091534
462,35008,7/7/2009 3:21:52 PM,13,52.399587873369505,9.73583165556192,106,0,108,51924236.0,T,-9.282158291195733,0.41863282207091534
463,35008,7/7/2009 3:21:52 PM,13,52.399587873369505,9.73583165556192,106,0,108,51924236.0,T,-9.282158291195733,0.41863282207091534
464,35008,7/7/2009 3:21:57 PM,13,52.3995876219124,9.73583182319999,107,0,130,51924236.0,T,-9.25670658919663,0.40960867763190156
465,35008,7/7/2009 3:21:57 PM,13,52.3995876219124,9.73583182319999,107,0,130,51924236.0,T,-9.25670658919663,0.40960867763190156
466,35008,7/7/2009 3:21:57 PM,13,52.3995876219124,9.73583182319999,107,0,130,51924236.0,T,-9.25670658919663,0.40960867763190156
467,35008,7/7/2009 3:21:57 PM,13,52.3995876219124,9.73583182319999,107,0,130,51924236.0,T,-9.25670658919663,0.40960867763190156
468,35008,7/7/2009 3:21:57 PM,13,52.3995876219124,9.73583182319999,107,0,130,51924236.0,T,-9.25670658919663,0.40960867763190156
469,35008,7/7/2009 3:21:57 PM,13,52.3995876219124,9.73583182319999,107,0,130,51924236.0,T,-9.25670658919663,0.40960867763190156
470,35008,7/7/2009 3:21:57 PM,13,52.3995876219124,9.73583182319999,107,0,130,51924236.0,T,-9.25670658919663,0.40960867763190156
471,35008,7/7/2009 3:21:57 PM,13,52.3995876219124,9.73583182319999,107,0,130,51924236.0,T,-9.25670658919663,0.40960867763190156
472,35008,7/7/2009 3:21:57 PM,13,52.3995876219124,9.73583182319999,107,0,130,51924236.0,T,-9.25670658919663,0.40960867763190156
473,35008,7/7/2009 3:22:02 PM,13,52.3995645716786,9.735832661390301,108,0,57,51924236.0,T,-6.953042990799767,0.5671068500067665
474,35008,7/7/2009 3:22:02 PM,13,52.3995645716786,9.735832661390301,108,0,57,51924236.0,T,-6.953042990799767,0.5671068500067665
475,35008,7/7/2009 3:22:02 PM,13,52.3995645716786,9.735832661390301,108,0,57,51924236.0,T,-6.953042990799767,0.5671068500067665
476,35008,7/7/2009 3:22:02 PM,13,52.3995645716786,9.735832661390301,108,0,57,51924236.0,T,-6.953042990799767,0.5671068500067665
477,35008,7/7/2009 3:22:02 PM,13,52.3995645716786,9.735832661390301,108,0,57,51924236.0,T,-6.953042990799767,0.5671068500067665
478,35008,7/7/2009 3:22:02 PM,13,52.3995645716786,9.735832661390301,108,0,57,51924236.0,T,-6.953042990799767,0.5671068500067665
479,35008,7/7/2009 3:22:02 PM,13,52.3995645716786,9.735832661390301,108,0,57,51924236.0,T,-6.953042990799767,0.5671068500067665
480,35008,7/7/2009 3:22:02 PM,13,52.3995645716786,9.735832661390301,108,0,57,51924236.0,T,-6.953042990799767,0.5671068500067665
481,35008,7/7/2009 3:22:02 PM,13,52.3995645716786,9.735832661390301,108,0,57,51924236.0,T,-6.953042990799767,0.5671068500067665
482,35008,7/7/2009 3:22:07 PM,13,52.3995461314917,9.73583576269448,109,0,136,51924236.0,T,-5.042877769305456,0.5283553926879894
483,35008,7/7/2009 3:22:07 PM,13,52.3995461314917,9.73583576269448,109,0,136,51924236.0,T,-5.042877769305456,0.5283553926879894
484,35008,7/7/2009 3:22:07 PM,13,52.3995461314917,9.73583576269448,109,0,136,51924236.0,T,-5.042877769305456,0.5283553926879894
485,35008,7/7/2009 3:22:07 PM,13,52.3995461314917,9.73583576269448,109,0,136,51924236.0,T,-5.042877769305456,0.5283553926879894
486,35008,7/7/2009 3:22:07 PM,13,52.3995461314917,9.73583576269448,109,0,136,51924236.0,T,-5.042877769305456,0.5283553926879894
487,35008,7/7/2009 3:22:07 PM,13,52.3995461314917,9.73583576269448,109,0,136,51924236.0,T,-5.042877769305456,0.5283553926879894
488,35008,7/7/2009 3:22:07 PM,13,52.3995461314917,9.73583576269448,109,0,136,51924236.0,T,-5.042877769305456,0.5283553926879894
489,35008,7/7/2009 3:22:07 PM,13,52.3995461314917,9.73583576269448,109,0,136,51924236.0,T,-5.042877769305456,0.5283553926879894
490,35008,7/7/2009 3:22:07 PM,13,52.3995461314917,9.73583576269448,109,0,136,51924236.0,T,-5.042877769305456,0.5283553926879894
